,Longitude,Latitude,xm,ym,zm_depth,zm,xkm,ykm,zkm,dem_m,date,mean_tds_t,var_tds_t,sigma_tds_t,mean_tds,sigma_tds,mean_temp_t,var_temp_t,sigma_temp_t,mean_temp,sigma_temp,mean_res_t,var_res_t,sigma_res_t,mean_res,sigma_res,mean_por_t,var_por_t,sigma_por_t,mean_por,sigma_por,mean_bicarb,var_bicarb,sigma_bicarb
144274,-120.8471485697,35.9578158484,-76.3203986337,-228.4621003019,700.3253173828125,-510.0,-76.3203986337,-228.4621003019,-0.51,190.33,2017.667,8.92052,0.13401,0.366,7484.0,3030.0,0.58837,0.04807,0.219,60.3,14.8,1.25663,0.07111,0.267,3.5,1.0,-1.1534,0.0114,0.1068,0.3156,0.034,0.1108,0.0255,0.1597
69657,-120.9148147368,35.9609664545,-82.4129464438,-228.0554204187,130.6822509765625,140.0,-82.4129464438,-228.0554204187,0.14,270.68,2017.667,6.17145,0.23935,0.489,479.0,281.0,-0.0332,0.06606,0.257,22.4,8.1,3.31619,0.1208,0.348,27.6,10.5,-1.0983,0.0151,0.1229,0.3334,0.0414,0.5522,0.0427,0.2066
230805,-120.9061395872,36.0050749394,-81.5846131535,-223.1623858382,406.9393997192383,-280.0,-81.5846131535,-223.1623858382,-0.28,126.94,2017.667,7.6153,0.17526,0.419,2029.0,969.0,0.28115,0.06461,0.254,38.6,12.3,2.28232,0.08883,0.298,9.8,3.1,-1.1713,0.0124,0.1114,0.31,0.0348,0.3801,0.0638,0.2526
473210,-120.8228581508,35.9987737273,-74.0926123512,-223.9308480815,900.4606323242188,-560.0,-74.0926123512,-223.9308480815,-0.56,340.46,2017.667,9.51045,0.46264,0.68,13500.0,13049.0,0.65576,0.0725,0.269,66.0,21.1,0.82224,0.2133,0.462,2.3,1.2,-1.1216,0.0163,0.1277,0.3258,0.0421,0.0837,0.1237,0.3517
418835,-120.8297982705,35.940487515,-74.7741848266,-230.4011134866,247.99899291992188,10.0,-74.7741848266,-230.4011134866,0.01,258.0,2017.667,6.78198,0.11945,0.346,882.0,333.0,0.13262,0.05623,0.237,30.3,9.1,2.8875,0.06446,0.254,17.9,4.8,-1.2051,0.0109,0.1044,0.2997,0.0315,0.3158,0.0508,0.2254
199070,-120.8523536595,36.0129514546,-76.7342441176,-222.3321823777,428.46624755859375,-110.0,-76.7342441176,-222.3321823777,-0.11,318.47,2017.667,7.58644,0.23718,0.487,1971.0,1148.0,0.26439,0.06573,0.256,37.6,12.2,2.28509,0.11622,0.341,9.8,3.7,-1.1424,0.0136,0.1166,0.3191,0.0376,0.3715,0.0688,0.2623
410281,-120.7673371932,35.9530899393,-69.1345326892,-229.048378124,873.8105163574219,-480.0,-69.1345326892,-229.048378124,-0.48,393.81,2017.667,8.72482,0.26828,0.518,6154.0,3904.0,0.59441,0.07027,0.265,60.8,19.2,1.39361,0.1308,0.362,4.0,1.6,-1.1564,0.0145,0.1204,0.3146,0.0383,0.1657,0.0633,0.2516
480638,-120.84194348,36.0145267576,-75.7955246564,-222.1655331379,284.7622375488281,10.0,-75.7955246564,-222.1655331379,0.01,294.76,2017.667,7.66276,0.3029,0.55,2128.0,1472.0,0.18475,0.06697,0.259,33.1,11.1,2.2543,0.14537,0.381,9.5,4.1,-1.1305,0.0139,0.1179,0.3229,0.0385,0.3543,0.0715,0.2674
179459,-120.864498869,35.9908972121,-77.8499456734,-224.7725883864,435.3301239013672,-200.0,-77.8499456734,-224.7725883864,-0.2,235.33,2017.667,7.67588,0.16638,0.408,2156.0,997.0,0.29666,0.06232,0.25,39.6,12.2,2.2189,0.08487,0.291,9.2,2.9,-1.1422,0.0122,0.1105,0.3191,0.0356,0.3911,0.0579,0.2406
315893,-120.8384734201,35.9215838786,-75.5744676032,-232.4944187132,100.08326721191406,100.0,-75.5744676032,-232.4944187132,0.1,200.08,2017.667,6.61625,0.14108,0.376,747.0,312.0,0.07985,0.06146,0.248,27.7,9.0,2.98213,0.07413,0.272,19.7,5.7,-1.1253,0.0118,0.1086,0.3246,0.0356,0.4367,0.0568,0.2383
