,xkm,ykm,xm,ym,Longitude,Latitude,mean_pred,var_pred,sigma_pred
24084,-75.8960052316,-222.0321779684,-75896.005231602,-222032.1779684291,-120.8430727405,36.0157188929,135.9,328.7,18.1
16819,-79.2996710213,-225.8977240158,-79299.6710213456,-225897.724015759,-120.8804806601,35.9806509915,-123.9,711.4,26.7
22145,-78.6808226959,-223.1918417826,-78680.8226959377,-223191.8417826281,-120.8738867687,36.005055177,-69.3,394.6,19.9
14564,-76.050717313,-227.05738783,-76050.717312954,-227057.3878299578,-120.8442941419,35.9704800059,-144.3,1186.2,34.4
6649,-73.3432558893,-231.309488482,-73343.2558892942,-231309.4884820206,-120.8138329528,35.9324235692,-118.0,1018.3,31.9
15636,-75.8186491909,-226.5162113833,-75818.649190926,-226516.2113833317,-120.8417712625,35.9753691794,-98.2,1556.8,39.5
23932,-78.6034666553,-222.1094888894,-78603.4666552617,-222109.4888893757,-120.8731383524,36.0148025636,-45.6,387.7,19.7
24403,-77.5978381265,-221.8002452056,-77597.8381264738,-221800.2452055893,-120.8619995402,36.017668511,38.6,1190.8,34.5
9687,-71.022574669,-229.6086482212,-71022.5746690145,-229608.6482211956,-120.7882402738,35.947907993,-27.2,1250.4,35.4
8263,-71.0999307097,-230.3817574307,-71099.9307096904,-230381.7574306614,-120.7890273596,35.9409440527,-45.9,1012.0,31.8
25731,-76.9789898011,-220.7952032333,-76978.9898010659,-220795.2032332836,-120.8552261143,36.0267640913,44.3,943.2,30.7
25012,-80.3052995501,-221.3363796799,-80305.2995501336,-221336.3796799098,-120.8921222539,36.0216177719,-68.8,703.6,26.5
24022,-80.6920797535,-222.0321779684,-80692.0797535135,-222032.1779684291,-120.8963457145,36.0153229277,-112.4,1102.2,33.2
16986,-78.3713985332,-225.8204130948,-78371.3985332338,-225820.4130948124,-120.8701823192,35.9814239217,-106.4,357.9,18.9
16498,-80.3052995501,-226.0523458577,-80305.2995501336,-226052.3458576521,-120.8916295624,35.9791748154,-180.4,834.4,28.9
7747,-69.0113176114,-230.6910011144,-69011.3176114387,-230691.0011144479,-120.7658224002,35.9383149291,-3.9,1352.9,36.8
